[2025-05-15 19:06:12,234] 17 root - INFO - data loading started...
[2025-05-15 19:06:14,920] 20 root - INFO - data loading completed...
[2025-05-15 19:06:15,330] 22 root - INFO - 
[2025-05-15 19:06:15,762] 30 root - INFO - 
[2025-05-15 19:06:19,185] 35 root - INFO - 
[2025-05-15 19:13:41,635] 17 root - INFO - data loading started...
[2025-05-15 19:13:41,636] 20 root - INFO - data loading completed...
[2025-05-15 19:13:41,992] 22 root - INFO - 
[2025-05-15 19:13:41,995] 30 root - INFO - 
[2025-05-15 19:13:47,616] 35 root - INFO - 
[2025-05-15 19:13:48,367] 17 root - INFO - data loading started...
[2025-05-15 19:13:48,371] 20 root - INFO - data loading completed...
[2025-05-15 19:13:48,719] 22 root - INFO - 
[2025-05-15 19:13:48,735] 30 root - INFO - 
[2025-05-15 19:13:53,939] 35 root - INFO - 
[2025-05-15 19:14:18,061] 17 root - INFO - data loading started...
[2025-05-15 19:14:18,064] 20 root - INFO - data loading completed...
[2025-05-15 19:14:18,405] 22 root - INFO - 
[2025-05-15 19:14:18,416] 30 root - INFO - 
[2025-05-15 19:14:21,921] 35 root - INFO - 
[2025-05-15 19:14:52,100] 17 root - INFO - data loading started...
[2025-05-15 19:14:52,105] 20 root - INFO - data loading completed...
[2025-05-15 19:14:52,446] 22 root - INFO - 
[2025-05-15 19:14:52,455] 30 root - INFO - 
[2025-05-15 19:14:57,555] 35 root - INFO - 
